int(self),prey_max_transfer,prey_energy_reproduce,predator_energy_transfer,predator_energy_reproduce,self.nb_predators,self.nb_preys
0,0.2,0.3,0.9,0.3,57,197
1,0.2,0.3,0.9,0.3,65,233
2,0.15,0.3,0.9,0.3,98,132
3,0.15,0.3,0.9,0.3,104,161
4,0.25,0.3,0.9,0.3,63,204
5,0.25,0.3,0.9,0.3,78,101
6,0.2,0.25,0.9,0.3,89,142
7,0.2,0.25,0.9,0.3,104,129
8,0.2,0.35,0.9,0.3,54,221
9,0.2,0.35,0.9,0.3,116,120
10,0.2,0.3,0.8,0.3,70,221
11,0.2,0.3,0.8,0.3,92,135
12,0.2,0.3,1.0,0.3,85,171
13,0.2,0.3,1.0,0.3,106,159
14,0.2,0.3,0.9,0.2,74,144
15,0.2,0.3,0.9,0.2,62,177
16,0.2,0.3,0.9,0.4,67,181
17,0.2,0.3,0.9,0.4,66,170
18,0.15,0.3,0.9,0.4,72,190
19,0.15,0.3,0.9,0.4,95,155
20,0.25,0.3,0.9,0.4,53,218
21,0.25,0.3,0.9,0.4,100,143
22,0.2,0.25,0.9,0.4,115,129
23,0.2,0.25,0.9,0.4,93,157
24,0.2,0.35,0.9,0.4,82,197
25,0.2,0.35,0.9,0.4,81,175
26,0.2,0.3,0.8,0.4,80,176
27,0.2,0.3,0.8,0.4,124,120
28,0.2,0.3,1.0,0.4,93,180
29,0.2,0.3,1.0,0.4,75,181
30,0.2,0.3,0.9,0.5,74,190
31,0.2,0.3,0.9,0.5,111,137
32,0.15,0.3,0.9,0.5,76,167
33,0.15,0.3,0.9,0.5,113,162
34,0.25,0.3,0.9,0.5,72,200
35,0.25,0.3,0.9,0.5,68,157
36,0.2,0.25,0.9,0.5,98,134
37,0.2,0.25,0.9,0.5,86,159
38,0.2,0.35,0.9,0.5,88,171
39,0.2,0.35,0.9,0.5,106,150
40,0.2,0.3,0.8,0.5,45,246
41,0.2,0.3,0.8,0.5,82,196
42,0.2,0.3,1.0,0.5,103,121
43,0.2,0.3,1.0,0.5,123,177
44,0.2,0.3,0.9,0.6,77,140
45,0.2,0.3,0.9,0.6,75,178
46,0.15,0.3,0.9,0.6,81,142
47,0.15,0.3,0.9,0.6,66,190
48,0.25,0.3,0.9,0.6,74,230
49,0.25,0.3,0.9,0.6,72,171
50,0.2,0.25,0.9,0.6,73,173
51,0.2,0.25,0.9,0.6,97,208
52,0.2,0.35,0.9,0.6,63,174
53,0.2,0.35,0.9,0.6,68,185
54,0.2,0.3,0.8,0.6,80,123
55,0.2,0.3,0.8,0.6,86,175
56,0.2,0.3,1.0,0.6,90,174
57,0.2,0.3,1.0,0.6,111,115
58,0.2,0.3,0.9,0.7,63,215
59,0.2,0.3,0.9,0.7,59,198
60,0.15,0.3,0.9,0.7,36,218
61,0.15,0.3,0.9,0.7,86,175
62,0.25,0.3,0.9,0.7,60,192
63,0.25,0.3,0.9,0.7,56,221
64,0.2,0.25,0.9,0.7,68,221
65,0.2,0.25,0.9,0.7,68,253
66,0.2,0.35,0.9,0.7,50,217
67,0.2,0.35,0.9,0.7,84,206
68,0.2,0.3,0.8,0.7,32,222
69,0.2,0.3,0.8,0.7,73,196
70,0.2,0.3,1.0,0.7,51,222
71,0.2,0.3,1.0,0.7,70,215
72,0.2,0.3,0.9,0.8,24,218
73,0.2,0.3,0.9,0.8,56,292
74,0.15,0.3,0.9,0.8,34,232
75,0.15,0.3,0.9,0.8,60,204
76,0.25,0.3,0.9,0.8,57,192
77,0.25,0.3,0.9,0.8,56,213
78,0.2,0.25,0.9,0.8,57,192
79,0.2,0.25,0.9,0.8,68,194
80,0.2,0.35,0.9,0.8,37,228
81,0.2,0.35,0.9,0.8,20,266
82,0.2,0.3,0.8,0.8,57,208
83,0.2,0.3,0.8,0.8,77,187
84,0.2,0.3,1.0,0.8,32,243
85,0.2,0.3,1.0,0.8,46,238
86,0.2,0.3,0.9,0.9,45,204
87,0.2,0.3,0.9,0.9,32,262
88,0.15,0.3,0.9,0.9,17,237
89,0.15,0.3,0.9,0.9,30,245
90,0.25,0.3,0.9,0.9,30,237
91,0.25,0.3,0.9,0.9,46,222
92,0.2,0.25,0.9,0.9,35,225
93,0.2,0.25,0.9,0.9,31,216
94,0.2,0.35,0.9,0.9,33,210
95,0.2,0.35,0.9,0.9,39,232
96,0.2,0.3,0.8,0.9,27,255
97,0.2,0.3,0.8,0.9,34,257
98,0.2,0.3,1.0,0.9,39,241
99,0.2,0.3,1.0,0.9,43,252
100,0.2,0.3,0.9,1.0,20,260
101,0.2,0.3,0.9,1.0,29,260
102,0.15,0.3,0.9,1.0,17,261
103,0.15,0.3,0.9,1.0,18,278
104,0.25,0.3,0.9,1.0,27,259
105,0.25,0.3,0.9,1.0,31,240
106,0.2,0.25,0.9,1.0,29,246
107,0.2,0.25,0.9,1.0,52,218
108,0.2,0.35,0.9,1.0,23,239
109,0.2,0.35,0.9,1.0,21,271
110,0.2,0.3,0.8,1.0,22,250
111,0.2,0.3,0.8,1.0,28,270
112,0.2,0.3,1.0,1.0,23,241
113,0.2,0.3,1.0,1.0,15,281
114,0.15,0.3,1.0,1.0,25,260
115,0.15,0.3,1.0,1.0,15,276
116,0.25,0.3,1.0,1.0,14,238
117,0.25,0.3,1.0,1.0,20,245
118,0.2,0.25,1.0,1.0,25,229
119,0.2,0.25,1.0,1.0,29,230
120,0.2,0.35,1.0,1.0,25,245
121,0.2,0.35,1.0,1.0,28,212
122,0.15,0.35,1.0,1.0,19,255
123,0.15,0.35,1.0,1.0,23,250
124,0.25,0.35,1.0,1.0,16,249
125,0.25,0.35,1.0,1.0,31,222
126,0.2,0.4,1.0,1.0,24,222
127,0.2,0.4,1.0,1.0,19,253
128,0.2,0.35,1.0,0.9,45,230
129,0.2,0.35,1.0,0.9,56,210
130,0.15,0.35,1.0,0.9,16,242
131,0.15,0.35,1.0,0.9,39,240
132,0.25,0.35,1.0,0.9,38,203
133,0.25,0.35,1.0,0.9,37,220
134,0.2,0.4,1.0,0.9,21,263
135,0.2,0.4,1.0,0.9,23,258
136,0.2,0.35,1.0,0.8,29,227
137,0.2,0.35,1.0,0.8,16,234
